============================================================
TYPE     | TICKER     | SHARES | PRICE   
BUY      | STOCK611   |     80 | $105.11  

SELL     | STOCK114   |     90 | $105.64  

TRADE    | STOCK114   |     50 | $105.64   | Buy: 0 | Sell: 40

SELL     | STOCK906   |     60 | $155.14  

BUY      | STOCK514   |     10 | $113.76  

BUY      | STOCK747   |     50 | $103.04  

SELL     | STOCK635   |     50 | $118.89  

TRADE    | STOCK635   |     40 | $118.89   | Buy: 0 | Sell: 10

BUY      | STOCK7     |     30 | $180.23  

BUY      | STOCK187   |     30 | $104.83  

BUY      | STOCK340   |    100 | $102.96  

BUY      | STOCK206   |     60 | $145.91  

BUY      | STOCK287   |     60 | $115.60  

BUY      | STOCK463   |     70 | $162.96  

SELL     | STOCK841   |     10 | $144.52  

BUY      | STOCK1017  |     10 | $137.73  

BUY      | STOCK630   |     90 | $190.35  

BUY      | STOCK921   |     30 | $152.17  

TRADE    | STOCK921   |     30 | $100.50   | Buy: 0 | Sell: 20

SELL     | STOCK852   |     60 | $175.90  

SELL     | STOCK73    |     30 | $167.55  

BUY      | STOCK125   |     70 | $193.66  

SELL     | STOCK709   |     70 | $182.91  

SELL     | STOCK789   |     50 | $134.37  

SELL     | STOCK661   |     30 | $105.54  

TRADE    | STOCK661   |     30 | $105.54   | Buy: 60 | Sell: 0

SELL     | STOCK339   |     20 | $169.59  

BUY      | STOCK593   |     90 | $107.35  

SELL     | STOCK624   |     20 | $154.36  

BUY      | STOCK516   |     40 | $121.22  

BUY      | STOCK700   |     10 | $175.23  

BUY      | STOCK174   |    100 | $176.03  

TRADE    | STOCK174   |     80 | $133.55   | Buy: 20 | Sell: 0

SELL     | STOCK88    |     80 | $112.53  

SELL     | STOCK392   |     50 | $166.04  

BUY      | STOCK744   |     80 | $102.57  

SELL     | STOCK1018  |    100 | $172.25  

SELL     | STOCK1008  |     80 | $162.79  

BUY      | STOCK71    |     20 | $184.65  

BUY      | STOCK532   |     60 | $193.76  

TRADE    | STOCK532   |     10 | $176.69   | Buy: 50 | Sell: 0

SELL     | STOCK594   |    100 | $135.07  

SELL     | STOCK1007  |     50 | $154.41  

TRADE    | STOCK1007  |     30 | $154.41   | Buy: 0 | Sell: 20

SELL     | STOCK678   |     60 | $120.86  

SELL     | STOCK512   |     50 | $155.69  

BUY      | STOCK522   |     60 | $147.88  

SELL     | STOCK524   |     10 | $163.78  

SELL     | STOCK497   |     20 | $124.14  

BUY      | STOCK527   |     20 | $103.15  

BUY      | STOCK116   |     60 | $107.20  

SELL     | STOCK292   |     50 | $104.22  

BUY      | STOCK704   |     20 | $123.46  

BUY      | STOCK961   |     90 | $129.60  

SELL     | STOCK82    |    100 | $196.82  

SELL     | STOCK632   |     70 | $109.38  

SELL     | STOCK608   |     10 | $119.20  

TRADE    | STOCK608   |     10 | $119.20   | Buy: 0 | Sell: 0

BUY      | STOCK729   |     40 | $121.59  

SELL     | STOCK955   |     80 | $173.38  

TRADE    | STOCK955   |     80 | $173.38   | Buy: 0 | Sell: 0

BUY      | STOCK231   |     10 | $113.60  

BUY      | STOCK331   |    100 | $148.40  

SELL     | STOCK746   |     50 | $196.72  

BUY      | STOCK873   |     80 | $123.84  

SELL     | STOCK153   |     50 | $177.10  

BUY      | STOCK182   |     70 | $106.12  

BUY      | STOCK411   |     50 | $155.46  

BUY      | STOCK966   |     10 | $180.18  

BUY      | STOCK470   |     90 | $125.78  

SELL     | STOCK698   |     40 | $154.40  

SELL     | STOCK262   |     90 | $195.00  

SELL     | STOCK545   |    100 | $174.42  

SELL     | STOCK756   |     30 | $193.51  

SELL     | STOCK84    |     40 | $121.24  

BUY      | STOCK224   |    100 | $137.21  

SELL     | STOCK612   |     40 | $186.13  

BUY      | STOCK864   |     90 | $170.50  

BUY      | STOCK461   |     30 | $184.43  

BUY      | STOCK773   |     60 | $174.65  

SELL     | STOCK919   |     80 | $175.69  

SELL     | STOCK200   |    100 | $173.10  

BUY      | STOCK353   |     70 | $150.00  

BUY      | STOCK254   |    100 | $136.20  

SELL     | STOCK806   |     50 | $109.69  

BUY      | STOCK812   |     40 | $159.98  

SELL     | STOCK332   |     70 | $171.24  

SELL     | STOCK956   |     40 | $119.17  

TRADE    | STOCK956   |     40 | $119.17   | Buy: 30 | Sell: 0

SELL     | STOCK135   |     90 | $169.49  

SELL     | STOCK351   |     20 | $125.09  

BUY      | STOCK324   |     20 | $112.38  

BUY      | STOCK397   |     70 | $126.59  

BUY      | STOCK91    |     10 | $191.01  

BUY      | STOCK272   |     70 | $101.06  

SELL     | STOCK119   |     80 | $141.78  

SELL     | STOCK960   |     40 | $187.18  

BUY      | STOCK887   |     10 | $112.07  

SELL     | STOCK1008  |     60 | $106.05  

BUY      | STOCK996   |     50 | $140.75  

BUY      | STOCK459   |    100 | $121.03  

SELL     | STOCK915   |     90 | $104.49  

SELL     | STOCK717   |     20 | $163.91  

BUY      | STOCK396   |     40 | $138.73  

TRADE    | STOCK396   |     20 | $133.62   | Buy: 20 | Sell: 0

SELL     | STOCK806   |    100 | $146.64  

SELL     | STOCK91    |     50 | $140.09  

TRADE    | STOCK91    |     10 | $140.09   | Buy: 0 | Sell: 40

BUY      | STOCK967   |     10 | $120.90  

BUY      | STOCK913   |     70 | $130.95  

SELL     | STOCK782   |     60 | $104.43  

SELL     | STOCK198   |     60 | $184.39  

SELL     | STOCK457   |     30 | $172.36  

BUY      | STOCK708   |     30 | $102.53  

SELL     | STOCK663   |     70 | $197.83  

SELL     | STOCK325   |     40 | $127.55  

TRADE    | STOCK325   |     10 | $127.55   | Buy: 0 | Sell: 30

BUY      | STOCK356   |     10 | $100.23  

BUY      | STOCK616   |     30 | $172.46  

TRADE    | STOCK616   |     30 | $165.40   | Buy: 0 | Sell: 40

BUY      | STOCK287   |     20 | $126.59  

SELL     | STOCK62    |     60 | $150.43  

TRADE    | STOCK62    |     60 | $150.43   | Buy: 30 | Sell: 0

BUY      | STOCK524   |    100 | $106.22  

SELL     | STOCK800   |     10 | $182.39  

BUY      | STOCK568   |     80 | $106.59  

BUY      | STOCK720   |     30 | $183.17  

SELL     | STOCK607   |     30 | $106.39  

SELL     | STOCK282   |     30 | $188.46  

SELL     | STOCK395   |     80 | $137.66  

TRADE    | STOCK395   |     10 | $137.66   | Buy: 0 | Sell: 70

BUY      | STOCK94    |     10 | $145.67  

BUY      | STOCK695   |     50 | $130.78  

BUY      | STOCK346   |     50 | $169.46  

BUY      | STOCK485   |     20 | $194.36  

BUY      | STOCK968   |     60 | $162.95  

SELL     | STOCK705   |     80 | $146.43  

SELL     | STOCK1004  |     10 | $141.79  

TRADE    | STOCK1004  |     10 | $141.79   | Buy: 70 | Sell: 0

SELL     | STOCK1001  |     60 | $175.63  

BUY      | STOCK346   |     70 | $123.61  

SELL     | STOCK295   |     30 | $193.71  

SELL     | STOCK105   |     50 | $170.64  

SELL     | STOCK825   |     60 | $156.50  

BUY      | STOCK189   |     50 | $197.42  

TRADE    | STOCK189   |     50 | $142.04   | Buy: 0 | Sell: 0

SELL     | STOCK905   |     40 | $194.32  

BUY      | STOCK968   |     60 | $187.42  

BUY      | STOCK514   |     70 | $139.57  

SELL     | STOCK523   |     30 | $146.75  

BUY      | STOCK282   |     40 | $154.63  

BUY      | STOCK477   |     20 | $166.37  

SELL     | STOCK734   |    100 | $105.26  

TRADE    | STOCK734   |     70 | $105.26   | Buy: 0 | Sell: 30

BUY      | STOCK287   |     20 | $158.24  

BUY      | STOCK817   |     50 | $150.36  

BUY      | STOCK579   |     50 | $177.64  

SELL     | STOCK999   |     40 | $107.77  

BUY      | STOCK497   |     30 | $183.63  

TRADE    | STOCK497   |     20 | $124.14   | Buy: 10 | Sell: 0

TRADE    | STOCK497   |     10 | $174.18   | Buy: 0 | Sell: 20

SELL     | STOCK241   |     70 | $137.50  

SELL     | STOCK898   |     60 | $120.74  

TRADE    | STOCK898   |     10 | $120.74   | Buy: 0 | Sell: 50

SELL     | STOCK927   |     40 | $159.08  

SELL     | STOCK105   |    100 | $113.75  

BUY      | STOCK461   |     40 | $190.47  

BUY      | STOCK111   |     50 | $150.42  

BUY      | STOCK227   |     20 | $184.75  

SELL     | STOCK387   |     60 | $116.52  

TRADE    | STOCK387   |     60 | $116.52   | Buy: 40 | Sell: 0

BUY      | STOCK617   |     70 | $121.24  

SELL     | STOCK664   |     50 | $137.24  

SELL     | STOCK705   |     10 | $124.52  

SELL     | STOCK795   |     30 | $148.06  

SELL     | STOCK928   |     50 | $183.05  

SELL     | STOCK345   |     90 | $157.20  

SELL     | STOCK851   |     60 | $186.00  

SELL     | STOCK735   |    100 | $196.87  

SELL     | STOCK244   |     70 | $108.57  

SELL     | STOCK10    |     70 | $178.65  

SELL     | STOCK534   |     30 | $142.40  

BUY      | STOCK1013  |     20 | $143.30  

SELL     | STOCK459   |     50 | $176.24  

SELL     | STOCK518   |     50 | $110.62  

BUY      | STOCK597   |     30 | $194.66  

SELL     | STOCK523   |    100 | $110.52  

BUY      | STOCK1010  |     50 | $138.53  

BUY      | STOCK499   |     20 | $194.20  

BUY      | STOCK324   |     70 | $194.62  

SELL     | STOCK820   |     80 | $149.71  

SELL     | STOCK483   |     70 | $183.20  

TRADE    | STOCK483   |     70 | $183.20   | Buy: 20 | Sell: 0

BUY      | STOCK472   |     30 | $158.31  

SELL     | STOCK330   |     10 | $148.86  

BUY      | STOCK207   |     20 | $139.94  

SELL     | STOCK12    |     60 | $132.78  

TRADE    | STOCK12    |     60 | $132.78   | Buy: 40 | Sell: 0

SELL     | STOCK976   |    100 | $122.63  

BUY      | STOCK200   |     60 | $193.14  

TRADE    | STOCK200   |     60 | $173.10   | Buy: 0 | Sell: 40

SELL     | STOCK597   |     40 | $193.01  

TRADE    | STOCK597   |     30 | $193.01   | Buy: 0 | Sell: 10

BUY      | STOCK541   |     30 | $118.23  

SELL     | STOCK812   |     90 | $113.49  

TRADE    | STOCK812   |     80 | $113.49   | Buy: 0 | Sell: 10

TRADE    | STOCK812   |     10 | $113.49   | Buy: 30 | Sell: 0

BUY      | STOCK566   |    100 | $143.94  

BUY      | STOCK841   |    100 | $135.53  

BUY      | STOCK999   |     40 | $190.95  

TRADE    | STOCK999   |     40 | $107.77   | Buy: 0 | Sell: 0

BUY      | STOCK966   |     90 | $164.28  

SELL     | STOCK551   |     30 | $197.62  

SELL     | STOCK8     |     80 | $193.84  

BUY      | STOCK215   |     30 | $161.45  

BUY      | STOCK278   |     10 | $198.17  

BUY      | STOCK225   |    100 | $158.35  

BUY      | STOCK862   |     80 | $133.06  

TRADE    | STOCK862   |     80 | $120.66   | Buy: 0 | Sell: 20

SELL     | STOCK364   |     20 | $175.31  

TRADE    | STOCK364   |     20 | $175.31   | Buy: 80 | Sell: 0

BUY      | STOCK70    |     50 | $140.71  

SELL     | STOCK459   |     90 | $133.15  

BUY      | STOCK226   |     50 | $198.80  

BUY      | STOCK816   |     40 | $154.73  

SELL     | STOCK10    |    100 | $179.98  

SELL     | STOCK462   |     80 | $137.37  

SELL     | STOCK545   |    100 | $179.42  

BUY      | STOCK484   |     20 | $149.95  

BUY      | STOCK634   |     20 | $185.11  

SELL     | STOCK9     |     70 | $104.61  

SELL     | STOCK633   |     50 | $147.65  

SELL     | STOCK883   |     80 | $156.65  

BUY      | STOCK97    |     70 | $108.32  

SELL     | STOCK241   |     70 | $193.52  

BUY      | STOCK834   |     10 | $153.71  

BUY      | STOCK32    |     10 | $164.65  

SELL     | STOCK719   |     80 | $131.99  

SELL     | STOCK974   |     40 | $129.13  

SELL     | STOCK890   |     20 | $126.38  

SELL     | STOCK270   |     30 | $109.21  

SELL     | STOCK642   |     20 | $180.87  

BUY      | STOCK304   |     10 | $107.65  

SELL     | STOCK948   |     40 | $195.92  

SELL     | STOCK232   |     30 | $198.89  

SELL     | STOCK508   |     30 | $199.34  

SELL     | STOCK618   |     50 | $133.17  

BUY      | STOCK89    |     20 | $180.68  

SELL     | STOCK204   |    100 | $194.03  

BUY      | STOCK409   |     10 | $196.04  

BUY      | STOCK665   |     30 | $139.81  

BUY      | STOCK400   |     40 | $180.16  

SELL     | STOCK763   |    100 | $105.92  

BUY      | STOCK479   |     10 | $181.77  

SELL     | STOCK246   |     60 | $185.58  

SELL     | STOCK313   |     80 | $189.49  

SELL     | STOCK283   |     10 | $180.75  

BUY      | STOCK691   |     30 | $172.61  

BUY      | STOCK602   |     90 | $183.72  

BUY      | STOCK103   |     30 | $194.58  

SELL     | STOCK191   |     60 | $122.40  

SELL     | STOCK654   |    100 | $197.90  

SELL     | STOCK221   |     60 | $163.26  

BUY      | STOCK679   |     30 | $123.17  

SELL     | STOCK780   |     90 | $195.40  

BUY      | STOCK797   |     50 | $142.00  

BUY      | STOCK110   |     40 | $123.99  

SELL     | STOCK527   |     70 | $115.24  

BUY      | STOCK770   |     80 | $133.70  

BUY      | STOCK243   |     40 | $160.44  

BUY      | STOCK491   |     60 | $170.88  

BUY      | STOCK962   |     40 | $135.90  

BUY      | STOCK461   |     80 | $161.44  

SELL     | STOCK472   |     90 | $144.38  

TRADE    | STOCK472   |     30 | $144.38   | Buy: 0 | Sell: 60

BUY      | STOCK1021  |     30 | $179.91  

BUY      | STOCK264   |     60 | $185.73  

BUY      | STOCK228   |    100 | $110.14  

SELL     | STOCK351   |     50 | $162.16  

SELL     | STOCK377   |     50 | $161.07  

SELL     | STOCK363   |     70 | $167.03  

BUY      | STOCK867   |     10 | $191.22  

TRADE    | STOCK867   |     10 | $146.65   | Buy: 0 | Sell: 60

BUY      | STOCK275   |     40 | $184.25  

SELL     | STOCK104   |     40 | $144.93  

SELL     | STOCK676   |     10 | $140.08  

BUY      | STOCK580   |     70 | $154.35  

BUY      | STOCK341   |     70 | $196.33  

SELL     | STOCK800   |    100 | $126.65  

BUY      | STOCK801   |     50 | $150.83  

SELL     | STOCK592   |    100 | $130.65  

BUY      | STOCK368   |     10 | $126.49  

BUY      | STOCK515   |     20 | $155.75  

BUY      | STOCK1020  |     40 | $130.56  

BUY      | STOCK724   |     60 | $125.10  

BUY      | STOCK259   |    100 | $154.82  

SELL     | STOCK116   |     20 | $161.29  

BUY      | STOCK793   |     60 | $159.35  

SELL     | STOCK233   |    100 | $184.66  

BUY      | STOCK509   |    100 | $138.60  

BUY      | STOCK631   |    100 | $150.00  

SELL     | STOCK466   |     60 | $148.00  

BUY      | STOCK294   |     80 | $127.70  

BUY      | STOCK440   |     20 | $172.27  

SELL     | STOCK586   |     80 | $110.25  

BUY      | STOCK58    |     80 | $128.04  

SELL     | STOCK33    |     60 | $176.38  

BUY      | STOCK192   |     20 | $110.17  

SELL     | STOCK450   |    100 | $196.50  

BUY      | STOCK138   |    100 | $146.27  

SELL     | STOCK471   |     50 | $186.31  

BUY      | STOCK948   |     50 | $109.72  

SELL     | STOCK757   |     70 | $157.44  

BUY      | STOCK400   |     90 | $138.53  

BUY      | STOCK110   |     40 | $117.63  

SELL     | STOCK162   |     80 | $105.24  

BUY      | STOCK474   |     20 | $107.14  

BUY      | STOCK581   |     50 | $108.42  

SELL     | STOCK41    |    100 | $138.29  

BUY      | STOCK687   |     50 | $196.03  

SELL     | STOCK525   |     70 | $120.53  

TRADE    | STOCK525   |     10 | $120.53   | Buy: 0 | Sell: 60

SELL     | STOCK980   |     20 | $158.50  

BUY      | STOCK158   |     30 | $193.49  

TRADE    | STOCK158   |     30 | $192.47   | Buy: 0 | Sell: 10

SELL     | STOCK683   |    100 | $128.61  

BUY      | STOCK999   |     10 | $164.31  

SELL     | STOCK570   |     60 | $116.29  

BUY      | STOCK572   |     50 | $115.97  

SELL     | STOCK371   |     40 | $170.41  

TRADE    | STOCK371   |     40 | $170.41   | Buy: 40 | Sell: 0

SELL     | STOCK799   |     70 | $150.45  

SELL     | STOCK683   |     60 | $162.93  

BUY      | STOCK838   |    100 | $188.74  

BUY      | STOCK340   |     80 | $111.76  

BUY      | STOCK795   |     90 | $122.77  

BUY      | STOCK383   |     40 | $110.90  

BUY      | STOCK32    |     50 | $105.95  

SELL     | STOCK490   |     70 | $194.57  

SELL     | STOCK479   |     10 | $156.76  

TRADE    | STOCK479   |     10 | $156.76   | Buy: 0 | Sell: 0

BUY      | STOCK48    |    100 | $186.58  

BUY      | STOCK140   |     40 | $108.84  

BUY      | STOCK477   |     20 | $149.40  

SELL     | STOCK531   |     20 | $170.21  

BUY      | STOCK575   |     40 | $155.61  

BUY      | STOCK522   |     60 | $101.13  

SELL     | STOCK1007  |     50 | $127.58  

SELL     | STOCK838   |    100 | $105.47  

TRADE    | STOCK838   |    100 | $105.47   | Buy: 0 | Sell: 0

SELL     | STOCK615   |     50 | $182.16  

BUY      | STOCK777   |     90 | $173.20  

SELL     | STOCK124   |     90 | $142.43  

SELL     | STOCK206   |     30 | $155.20  

SELL     | STOCK913   |     20 | $139.22  

BUY      | STOCK726   |     90 | $185.94  

SELL     | STOCK593   |     90 | $182.15  

BUY      | STOCK25    |    100 | $160.73  

BUY      | STOCK828   |     30 | $183.86  

BUY      | STOCK903   |     10 | $183.50  

SELL     | STOCK321   |     80 | $128.21  

SELL     | STOCK151   |     40 | $150.58  

BUY      | STOCK735   |     60 | $156.39  

BUY      | STOCK290   |     60 | $119.69  

BUY      | STOCK590   |     30 | $105.32  

BUY      | STOCK609   |     90 | $166.83  

BUY      | STOCK155   |     90 | $100.89  

SELL     | STOCK64    |     20 | $194.74  

SELL     | STOCK135   |     10 | $103.90  

SELL     | STOCK249   |     80 | $173.96  

SELL     | STOCK483   |     20 | $125.54  

TRADE    | STOCK483   |     20 | $125.54   | Buy: 0 | Sell: 0

BUY      | STOCK561   |     70 | $108.50  

SELL     | STOCK756   |     70 | $152.23  

BUY      | STOCK66    |     50 | $192.14  

SELL     | STOCK850   |     90 | $190.50  

BUY      | STOCK374   |     60 | $141.83  

BUY      | STOCK731   |     20 | $173.91  

SELL     | STOCK361   |     30 | $161.05  

TRADE    | STOCK361   |     30 | $161.05   | Buy: 40 | Sell: 0

SELL     | STOCK425   |     90 | $137.10  

SELL     | STOCK731   |     20 | $180.97  

SELL     | STOCK702   |     80 | $146.17  

SELL     | STOCK944   |     80 | $181.26  

BUY      | STOCK67    |    100 | $185.30  

BUY      | STOCK524   |     30 | $199.37  

TRADE    | STOCK524   |     30 | $151.34   | Buy: 0 | Sell: 60

BUY      | STOCK288   |     90 | $177.12  

BUY      | STOCK305   |     30 | $114.66  

SELL     | STOCK798   |     70 | $134.68  

TRADE    | STOCK798   |     50 | $134.68   | Buy: 0 | Sell: 20

BUY      | STOCK962   |     20 | $107.82  

BUY      | STOCK710   |     40 | $143.23  

SELL     | STOCK907   |    100 | $187.11  

BUY      | STOCK147   |     10 | $174.23  

SELL     | STOCK996   |     60 | $177.48  

SELL     | STOCK743   |     80 | $174.91  

SELL     | STOCK255   |     70 | $149.42  

SELL     | STOCK482   |    100 | $125.77  

SELL     | STOCK777   |     50 | $130.69  

TRADE    | STOCK777   |     50 | $130.69   | Buy: 40 | Sell: 0

SELL     | STOCK998   |     30 | $145.08  

BUY      | STOCK906   |     90 | $179.24  

TRADE    | STOCK906   |     40 | $100.28   | Buy: 50 | Sell: 0

TRADE    | STOCK906   |     20 | $154.76   | Buy: 30 | Sell: 0

TRADE    | STOCK906   |     30 | $155.14   | Buy: 0 | Sell: 30

BUY      | STOCK614   |     40 | $162.06  

BUY      | STOCK190   |     20 | $181.22  

TRADE    | STOCK190   |     20 | $103.65   | Buy: 0 | Sell: 60

BUY      | STOCK444   |     40 | $105.68  

SELL     | STOCK885   |     10 | $179.65  

SELL     | STOCK540   |     20 | $128.42  

BUY      | STOCK714   |     40 | $190.49  

SELL     | STOCK820   |     20 | $128.07  

BUY      | STOCK385   |     70 | $149.95  

TRADE    | STOCK385   |     70 | $132.48   | Buy: 0 | Sell: 0

SELL     | STOCK206   |     90 | $156.83  

SELL     | STOCK341   |     60 | $186.49  

TRADE    | STOCK341   |     60 | $186.49   | Buy: 10 | Sell: 0

SELL     | STOCK343   |    100 | $136.91  

BUY      | STOCK666   |     90 | $171.47  

BUY      | STOCK903   |     90 | $192.87  

SELL     | STOCK130   |     40 | $170.35  

SELL     | STOCK30    |     80 | $182.10  

BUY      | STOCK501   |     40 | $189.42  

SELL     | STOCK644   |     30 | $159.90  

BUY      | STOCK361   |     30 | $110.20  

SELL     | STOCK387   |     20 | $170.43  

SELL     | STOCK432   |     60 | $134.34  

SELL     | STOCK503   |    100 | $159.94  

BUY      | STOCK696   |     20 | $193.47  

BUY      | STOCK912   |     80 | $177.59  

TRADE    | STOCK912   |     10 | $170.35   | Buy: 70 | Sell: 0

SELL     | STOCK751   |     60 | $128.06  

SELL     | STOCK3     |    100 | $158.30  

SELL     | STOCK141   |     60 | $177.17  

TRADE    | STOCK141   |     10 | $177.17   | Buy: 0 | Sell: 50

BUY      | STOCK926   |     90 | $181.93  

SELL     | STOCK637   |     30 | $185.91  

BUY      | STOCK635   |    100 | $118.38  

BUY      | STOCK784   |     70 | $141.19  

BUY      | STOCK131   |     40 | $103.96  

BUY      | STOCK841   |     90 | $162.52  

TRADE    | STOCK841   |     10 | $144.52   | Buy: 80 | Sell: 0

SELL     | STOCK679   |     10 | $143.79  

SELL     | STOCK90    |     90 | $111.78  

SELL     | STOCK645   |     90 | $100.43  

BUY      | STOCK502   |     60 | $149.27  

BUY      | STOCK289   |     20 | $148.24  

BUY      | STOCK19    |     40 | $181.38  

BUY      | STOCK839   |     80 | $147.81  

SELL     | STOCK249   |     70 | $120.14  

BUY      | STOCK881   |     40 | $108.52  

SELL     | STOCK462   |     30 | $107.02  

SELL     | STOCK211   |     30 | $158.67  

BUY      | STOCK337   |     50 | $166.55  

SELL     | STOCK149   |     40 | $162.30  

BUY      | STOCK729   |     60 | $122.46  

SELL     | STOCK482   |     50 | $104.46  

SELL     | STOCK465   |     30 | $175.07  

TRADE    | STOCK465   |     30 | $175.07   | Buy: 20 | Sell: 0

SELL     | STOCK249   |     10 | $191.61  

SELL     | STOCK152   |     20 | $148.55  

SELL     | STOCK580   |     90 | $170.24  

BUY      | STOCK372   |     40 | $137.80  

BUY      | STOCK411   |     90 | $182.79  

SELL     | STOCK480   |     20 | $133.33  

BUY      | STOCK725   |     40 | $188.67  

SELL     | STOCK247   |     50 | $140.91  

TRADE    | STOCK247   |     20 | $140.91   | Buy: 0 | Sell: 30

BUY      | STOCK322   |     40 | $176.51  

SELL     | STOCK3     |     50 | $196.65  

SELL     | STOCK547   |     10 | $114.26  

SELL     | STOCK952   |     20 | $119.21  

SELL     | STOCK410   |     20 | $115.47  

BUY      | STOCK829   |     90 | $194.26  

TRADE    | STOCK829   |     50 | $176.54   | Buy: 40 | Sell: 0

BUY      | STOCK366   |     10 | $153.72  

BUY      | STOCK582   |     30 | $195.90  

SELL     | STOCK248   |     50 | $163.53  

BUY      | STOCK581   |     60 | $153.81  

BUY      | STOCK405   |     60 | $133.56  

BUY      | STOCK20    |     80 | $139.61  

SELL     | STOCK57    |     20 | $108.10  

SELL     | STOCK373   |     40 | $169.22  

SELL     | STOCK84    |     30 | $190.20  

BUY      | STOCK303   |     40 | $178.69  

SELL     | STOCK707   |     20 | $167.33  

SELL     | STOCK997   |     80 | $170.53  

SELL     | STOCK417   |     10 | $177.21  

SELL     | STOCK388   |     10 | $119.23  

TRADE    | STOCK388   |     10 | $119.23   | Buy: 30 | Sell: 0

SELL     | STOCK331   |     50 | $105.53  

TRADE    | STOCK331   |     50 | $105.53   | Buy: 50 | Sell: 0

SELL     | STOCK804   |    100 | $114.72  

SELL     | STOCK845   |     40 | $126.18  

BUY      | STOCK318   |     40 | $132.38  

SELL     | STOCK573   |     50 | $113.85  

BUY      | STOCK510   |     50 | $167.20  

SELL     | STOCK469   |    100 | $143.13  

TRADE    | STOCK469   |     50 | $143.13   | Buy: 0 | Sell: 50

BUY      | STOCK724   |     60 | $199.79  

BUY      | STOCK253   |     10 | $138.46  

TRADE    | STOCK253   |     10 | $134.70   | Buy: 0 | Sell: 60

SELL     | STOCK709   |     70 | $165.43  

SELL     | STOCK220   |     20 | $118.77  

BUY      | STOCK531   |     90 | $137.11  

SELL     | STOCK821   |     40 | $136.42  

BUY      | STOCK786   |     20 | $174.79  

